Name,Link,Area,State Served,Other Limitation,Overview,Grant Guidelines,Foundation Information
,,,,,"MissionProvide grants to colleges or universities that have journalism departments or programs, so they can provide to students that deserve and need the support.Annual application deadlinesMarch 10Program areasEducationStates servedAllGeographic limitationsThere is no stated geographical limitation however, the foundation has a practice of supporting universities and colleges in the state of Florida.Population ServedJournalism students who are deserving and show the need for support.TrusteesWells Fargo Bank, N.A.","Karl A. Bickel and Madira Bickel Journalistic Scholarship Fund provides grants to colleges or universities that have journalism departments or programs, so they can provide to students that deserve and need the support.RequirementsApplications must be submitted through the online grant application form or alternative accessible application designed for assistive technology users.To be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Organizations must have a journalism department.LimitationsGrants are limited to colleges or universities that have a journalism department and must be used for scholarships to Journalism Students.Average givingAverage grant size: $40,000Average number of grants per year: 1Average total giving per year: $40,000Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by March 10th to be reviewed at the annual grant meeting.CommunicationsApplicants will receive an email confirming their submission. Grant decisions are generally communicated within 3 months of the deadline for applications received by the deadline.Required agreements and reportsPeriodic progress reports and final reports may be required for funded projects.","About the FoundationKarl A. Bickel and Madira Bickel Journalistic Scholarship Fund was established under the Last Will and Testament of Karl A. Bickel. It provides grants to colleges or universities that have journalism departments or programs, with students that deserve and need the support."
,,,,,"MissionTo support a variety of charitable causes primarily in San Diego County, California.Annual application deadlinesJune 30Program areasArts, Culture, and HumanitiesEducationEnvironment, AnimalsHealthHuman ServicesPublic/Society BenefitReligionStates servedCaliforniaGeographic limitationsThe trust has a practice of primarily supporting organizations located in San Diego County, California.TrusteesWells Fargo Bank, N.A.","The Charles and Ruth Billingsley Foundation awards grants for a variety of charitable causes. The trust has a practice of primarily supporting organizations located in San Diego County, California.RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by the June 30 deadline to be reviewed at the grant meeting that occurs in July.CommunicationsApplicants will receive an automated email confirming their submission.Required agreements and reportsPeriodic progress reports and final reports may be required.","About the Foundation            The Charles and Ruth Billingsley Foundation was established in  1988 to support a variety of charitable causes. Mr. & Mrs. Billingsley were residents of San Diego County, California."
,,,,,"MissionTo support a broad range of activities especially assistance for the visually impaired, and hospital and medical care for those in financial need.Annual application deadlinesAugust 1Program areasArts, culture, and humanitiesEducationEnvironment, animalsHealthHuman servicesPublic/society benefitReligionProgram limitationsThe trust has a practice of supporting organizations that assist the visually impaired, and underprivileged individuals in need of hospital and medical care.States servedVirginiaGeographic limitationsTrust has a practice of primarily supporting organizations located in Charlottesville or Albemarle County, Virginia.TrusteesWells Fargo Bank, N.A.","RequirementsOrganizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Grantmaking prioritiesPreference may be given to requests for the following:Organizations located in Charlottesville or Albemarle County, Virginia.Organizations providing assistance to the visually impaired.Hospitals and health organizations providing medical care to those in financial need.Average givingAverage grant size: $3,000 to $10,000Average number of grants per year: 13Average total giving per year: $75,000Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by August 1 to be reviewed at the annual grant meeting.CommunicationsApplicants will receive an automated email confirming their submission. Grant decisions are generally communicated by November for applications received by the deadline.Required agreements and reportsPeriodic progress reports and final reports may be required for funded projects.","About the Foundation            The Inez Duff Bishop Charitable Trust was established in 1966 under the Last Will and Testament of Inez Duff Bishop. Inez Duff Bishop, a resident of Charlottesville, Virginia, created the trust to “bring humanitarian blessings” to people. The trust primarily supports a variety of charitable organizations located in Charlottesville or Albemarle County, Virginia."
,,,,,"Mission            To provide economically deprived children, living in central Nebraska, with some of the necessities of life and also some items that will bring joy into their lives such as Christmas gifts.            Annual application deadlines            March 31            Program areas            EducationHealthHuman services            Program limitations            Programs must benefit economically deprived children.             States served            Nebraska            Geographic limitations            Grants must benefit children living in Nebraska, outside of the city limits of Omaha and Lincoln, and preferably those living in the area of central Nebraska.The trust has a practice of giving in the area of Grand Island, Nebraska.            Population served            Children            Trustees            Wells Fargo Bank, N.A.","The Benjamin A. Black Charitable Trust for Children awards grants to benefit needy and economically deprived children living in Nebraska.Grants must directly benefit children and not their parents. Grants should not only assist in providing the necessities of life for such children, but also to bring some joy into their lives. For example, it was the donor’s specific intent that some portion of the grant funds be awarded for the purchase and distribution of Christmas gifts.RequirementsGrantees must be qualified as public charities under IRC section 501(c)(3).LimitationsGrants are not made to individuals.Grantmaking prioritiesPriority may be given for the purchase and distribution of Christmas presents.Average givingAverage grant size: $1,000 - $5,000Average number of grants per year: 5Average total giving per year: $25,000Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by March 31 to be reviewed at the annual grant meeting.CommunicationsApplicants will receive an automated email confirming their submission. Grant decisions are generally communicated by the end of June for applications received by the deadline.Required agreements and reportsPeriodic progress reports and final reports may be required for funded projects.","About the Foundation            The Benjamin A. Black Charitable Trust for Children was established in 1990 to further the legacy and memory of Benjamin A. Black by supporting programs for needy and economically deprived children.  Mr. Black was born in 1941 and passed away in 1991.  Mr. Black was a resident of Hall County, Nebraska."
,,,,,"MissionTo support chamber groups (not orchestras), choral groups, and soloists that perform contemporary music (not jazz, folk music or electronic music), and artistic organizations that exhibit regional (preferably within the greater Richmond, Virginia area) artists.Annual application deadlinesApril 15Program areasArts, culture, and humanitiesStates servedVirginiaGeographic limitationsThe Foundation has a practice of primarily supporting organizations located in Virginia, with a preference for the Greater Richmond area.TrusteesWells Fargo Bank, N.A.","RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Grantmaking prioritiesPreference will be given to requests from the following:chamber groups (not orchestras), choral groups, and soloists that perform contemporary music (not jazz, folk music or electronic music)artistic organizations that exhibit regional (preferably within the greater Richmond area) artistsWith respect to grants made to chamber groups (not orchestras, choral groups, and soloists that perform contemporary music (not jazz, folk music or electronic music), such grants will be used for:the rental or purchase of music;the support of recording (but not the total cost of recording);the support of the commissioning of new works (but not the total cost of commissioning)administrative expenses; andperformance fees.With respect to grants made to artistic organizations that exhibit regional (preferably within the greater Richmond area) artists, such grants will be used for:general expenses to mount shows;administrative expenses; andrental assistance.Average givingAverage grant size: $1,000 to $20,000Average number of grants per year: N/AAverage total giving per year: $150,000 - $200,000Annual application period and deadlinesApplications are accepted year-round.  Applications must be submitted by April 15 in order to be considered for funding in the same calendar year.CommunicationsApplicants will receive an automated email confirming their submission.  Grant decisions are generally communicated by June for applications received by the April 15th deadline.Required agreement and reportsPeriodic progress reports and final reports may be required for funded projects.",
,,,,,"Mission            The Bradford T. Blauvelt Memorial Trust Fund supports certain named charities and also provides support for educational purposes, hospitalization and medical services, and youth and family services in Ocean County, New Jersey.             Annual application deadlines            June 15            Program areas            EducationHealthHuman services            States served            New Jersey            Geographic limitations            Ocean County, New Jersey            Trustees            Wells Fargo Bank, N.A.","The Bradford T. Blauvelt Memorial Trust Fund provides support for certain named charities, and also awards grants for educational and medical purposes to organizations whose principal activities are conducted in Ocean County, New Jersey.RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Average givingAverage grant size: $1,500Average number of grants per year: 2Average total giving per year: $3,000Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by June 15 to be reviewed at the annual grant meeting that occurs in September.CommunicationsApplicants will receive an automated email confirming their submission.Required agreements and reportsExcept as otherwise specified when a grant is awarded, a progress report must be submitted within 6 months after receiving funds.","About the Foundation            The Bradford T. Blauvelt Memorial Trust Fund was established under the Last Will and Testament of Eleanor G. Blauvelt. Her desire was to make a meaningful contribution to her native community in Ocean County, New Jersey. Mrs. Blauvelt named the trust after her beloved husband, Bradford T. Blauvelt, who passed away in 1969, thirty years prior to her own death in April of 2000. Thanks to her generosity, the citizens of Ocean County will enjoy benefits from the trust fund for many years to come."
,,,,,"MissionTo further charitable, educational, and religious causes in and around Dallas, TX.Annual application deadlinesFebruary 28Program areasArts, culture, and humanitiesEducationEnvironment, animalsHealthHuman servicesPublic/society benefitReligionStates servedTexasGeographic limitationsThere are no geographic limitations; however, the foundation has a practice of primarily supporting organizations located in and around Dallas, Texas.TrusteesWells Fargo Bank, N.A.","RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by February 28 to be reviewed at the annual grant meeting that occurs in the Spring.CommunicationsApplicants will receive an automated email confirming their submission.  Grant decisions are generally communicated by June for applications received by the deadline.Required agreements and reportsPeriodic progress reports and final reports may be required for funded projects.","About the FoundationJoseph and Alice Blewett lived most of their lives in Dallas, Texas.  They were active in civic organizations and interested in educational opportunities for young people, as well as other charitable and religious programs that benefit all people.In the spirit of the Blewetts’ charitable interests, preference shall be given to organizations located in and around Dallas, Texas."
,,,,,"MissionTo benefit needy children in Marin County, California through Catholic charitable organizations.Annual application deadlinesFebruary 28Program areasEducationHealthHuman servicesReligionProgram limitationsLimited to Catholic charitable organizations operating in Marin County, California for the care, support, maintenance, benefit, and education of needy children residing in Marin County, California.States servedCaliforniaGeographic limitationsMarin County, CaliforniaPopulation servedChildrenTrusteesWells Fargo Bank, N.A.","The Bono Brothers Memorial Trust awards grants to Catholic charitable organizations operating in Marin County, California for the care, support, maintenance, benefit, and education of needy children residing in Marin County, California.RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.LimitationsGrantee must be a Catholic charitable organization operating in Marin County, CA.Grants are to be used for the care, support, maintenance, benefit, and education of needy children residing in Marin County, CA.Average givingAverage grant size: $5,000 to $7,500Average number of grants per year: 4Average total giving per year: $30,000Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by February 28 to be reviewed at the annual grant meeting.CommunicationsApplicants will receive an automated email confirming their submission.Required reportsPeriodic progress reports and final reports may be required for funded projects.","About the Foundation            The Bono Brothers Memorial Trust was established in 1962 by Joseph Bono, who wished to use his wealth to benefit needy children in Marin County, California."
,,,,,"MissionTo support charitable purposes in Pulaski County, Virginia whether said purposes be of a religious, educational, or public nature, or for the benefit and relief of the poor and suffering.Annual application deadlinesApril 1Program areasArts, culture, and humanitiesEducationEnvironment, animalsHealthHuman servicesPublic/society benefitReligionStates servedVirginiaGeographic limitationsPulaski County, VirginiaTrusteesWells Fargo Bank, N.A.","RequirementsOrganizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Grants must support charitable purposes in Pulaski County, Virginia whether said purposes be of a religious, educational, or public nature, or for the benefit and relief of the poor and suffering.Average givingAverage grant size: $1,000 to $6,000Average number of grants per year: 3Average total giving per year: $10,000Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by April 1 to be reviewed at the annual grant meeting.CommunicationsApplicants will receive an automated email confirming their submission.Required reportsPeriodic progress reports and final reports may be required for funded projects.","About the Foundation            The Jesse N. Bosang Trust was established under Jesse N. Bosang’s Last Will and Testament on March 22, 1951. Through the creation of the trust, Jesse N. Bosang desired to continuously support charitable endeavors benefiting the residents of Pulaski County, Virginia."
,,,,,"MissionTo promote the education, health, welfare and rehabilitation of young women in the State of Indiana and primarily Fort Wayne and Allen County.Annual application deadlinesMay 1Program areasEducationHealthHuman servicesStates servedIndianaGeographic limitationsFort Wayne, Indiana and Allen County, IndianaTrusteesWells Fargo Bank, N.A.","RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Grantmaking prioritiesGrants must promote the education, health, welfare and rehabilitation of young women in the State of Indiana and primarily Fort Wayne and Allen County.Average givingAverage grant size: $5,000 to $30,000Average number of grants per year: 6Average total giving per year: $75,000Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by May 1 to be reviewed at the annual grant meeting that occurs in June.CommunicationsApplicants will receive an automated email confirming their submission.Required agreements and reportsPeriodic progress reports and final reports may be required for funded projects.","About the Foundation            The Bowker Foundation was created in 1966 by Bella Bowker Skidmore, a resident of Fort Wayne, Indiana.  Mrs. Skidmore created the foundation to promote the education, health, welfare and rehabilitation of young women.  Mrs. Skidmore was born in 1874 and died in 1967."
,,,,,"MissionTo support charitable, scientific, literary and educational efforts in St. Joseph County, Indiana, with an emphasis on early childhood education.Annual application deadlinesJune 1Program areasEducationHealthHuman servicesProgram limitationsThere are no program limitations; however, the foundation has a practice of primarily supporting organizations that support early childhood education.States servedIndianaGeographic limitationsSouth Bend, Indiana and St. Joseph County, IndianaTrusteesWells Fargo Bank, N.A.","The Bowsher-Booher Foundation was created to support charitable, scientific, literary and educational efforts in St. Joseph County, Indiana, with an emphasis on early childhood education.RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Average givingAverage grant size: $5,000 to $10,000Average number of grants per year: 8Average total giving per year: $80,000Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by June 1 to be reviewed at the annual grant meeting.CommunicationsApplicants will receive an automated email confirming their submission.Required agreements and reportsPeriodic progress reports and final reports may be required for funded projects.","About the Foundation            The Bowsher-Booher Foundation was established by Eleanor Booher Bowsher Warner as a continuing memorial to her deceased husband, Jay C. Bowsher, and his brother, Delevan D. Bowsher, sons of South Bend pioneers Nelson P. and Clarissa Bowsher.  She believed that the foundation would be a fitting way for the family to give something back to the community which had given so much to them.  Eleanor Booher was born on March 22, 1891.  She grew up on a farm near Dayton, Ohio, taught in the country schools, and then moved to Chicago to further her education at the University of Chicago.  She graduated with honors and then taught in the Oak Park, Illinois schools until coming to South Bend.  She met Jay C. Bowsher while teaching at Central High School, and they married in 1937.   Jay C. Bowsher died on August 12, 1950.  Mrs. Bowsher later moved to Coral Gables, Florida, where the couple had a winter home.  She subsequently married Dr. James Warner, a professor of English at the University of Miami.  She passed away on March 4, 1980."
,,,,,"MissionFoundation funds are used to promote the relief of suffering and other charitable purposes — for example, for the victims of floods and disasters, or for the care of the sick, feeble, helpless, and orphans.Annual application deadlinesMarch 1 and September 1Program areasPublic/society benefitReligionEnvironmentHuman servicesHealthStates servedGeorgiaGeographic limitationsThere are no geographic limitations; however, the foundation has a practice of primarily supporting organizations within the state of Georgia.TrusteesWells Fargo Bank, N.A.","The Mary Allen Lindsey Branan Foundation makes grants to organizations in the state of Georgia to promote the relief of suffering and other charitable purposes.RequirementsOrganizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Applications must be submitted through the online grant application form or alternative accessible application designed for assistive technology users.Average givingAverage grant size: $10,000 to $20,000Average number of grants per year: 100Average total giving per year: $1,202,000Annual application period and deadlinesApplications are accepted year-round but they must be submitted by March 1 to be reviewed at the grant meeting in April or September 1 to be reviewed at the grant meeting in October.CommunicationsApplicants will receive an automated email confirming their submission. Grant decisions are generally communicated within 90 days after each deadline.Required agreements and reportsExcept as otherwise specified when a grant is awarded, a progress report must be submitted within 6 months after receiving funds.","About the Foundation            The Mary Allen Lindsey Branan Foundation was created under the will of Charles I. Branan, who died in 1929, and is so named in memory of his beloved mother (born 1830, died 1915), who was left a widow with seven children.  Mr. Branan resided in Georgia."
,,,,,"MissionTo support finance or help finance homes for the blind, and organizations that provide assistance to the blind.Annual application deadlinesMarch 15Program areasEducationHealthHuman servicesProgram limitationsGrants are limited to finance or help finance homes for the blind, and to support organizations that provide assistance to the blind.States servedAllTrusteesWells Fargo Bank, N.A.","The Marie H. Brookreson Trust awards grants to finance or help finance homes for the blind. Grants are also awarded to organizations that provide assistance to the blind.RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Applications must be submitted through the online grant application form or alternative accessible application designed for assistive technology users.Average givingAverage grant size: $5,000 to $10,000Average number of grants per year: 4Average total giving per year: $30,000Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by March 15 to be reviewed at the annual grant meeting.CommunicationsApplicants will receive an automated email confirming their submission.Required reportsPeriodic progress reports and final reports may be required for funded projects.","About the Foundation            The Marie H. Brookreson Trust was established in 1975 under the Last Will and Testament of Marie H. Brookreson, a resident of Los Angeles, California."
,,,,,"MissionTo provide grants to qualified 501(c)(3) organizations supporting religious, charitable, scientific, literary, or educational purposes.Annual application deadlinesMay 31Program areasArts, culture, and humanitiesEducationEnvironment, animalsHealthHuman servicesPublic/society benefitReligionStates servedIdahoGeographic limitationsThe trust has a practice of primarily supporting organizations in Twin Falls, Idaho.TrusteesWells Fargo Bank, N.A.","The Olive Smith Browning Charitable Trust makes grants to qualified 501(c)(3) organizations supporting charitable, religious, scientific, literary, or educational purposes.RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Applications must be submitted through the online grant application form or alternative accessible application designed for assistive technology users.Grantmaking prioritiesThe trust has a practice of primarily supporting organizations in Twin Falls, Idaho.Average givingAverage grant size: $2,500 to $10,000Average number of grants per year: 10Average total giving per year: $35,000Annual application period and deadlinesRequests are accepted year-round, but must be submitted by May 31 to be reviewed at the annual grant meeting typically held in June.CommunicationsApplicants will receive an automated email confirming their submission. Grant decisions are generally communicated by July 31 for applications received by the deadline.Required agreements and reportsProgress reports are due six months after grants are received. Report forms will be provided once a grant is awarded.","About the Foundation            The Olive Smith Browning Charitable Trust was created in 1978.    Olive Smith Browning was a resident of Twin Falls County, Idaho.   Grants are made to qualified 501(c)(3) organizations supporting religious, charitable, scientific, literary, or educational purposes."
,,,,,"MissionTo promote religious, educational, and character building initiatives through audio-visual educational means. The donor’s special desire was to cooperate with Sunday Schools, Churches, youth organizations, and other character building agencies in the development of Christian character.Annual application deadlinesJune 30Contact informationDarrel Reinford, Executive Director, Christian Churches United of the Tri-County AreaPhone: 717-230-9550Program areasEducationReligionStates servedPennsylvaniaProgram limitationsThere are no program limitations; however, the foundation has a practice of limiting funding for hardware such as projectors, screens, and sound systems with special interest in Sunday Schools, Churches, youth organizations, and other character building agencies.Geographic limitationsHarrisburg, PennsylvaniaTrusteesWells Fargo Bank, N.A.Committee membersHenry Rhoads, Esq.Jacqueline RuckerKirby BeshoreRosemary Browne","The Ida W. Browning Trust provides grants to organizations to be used to promote religious, educational, and other character building activities and initiatives through audio-visual educational means.RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501 (c) (3) of the Internal Revenue Code.Applications must be submitted through the online grant application form or alternative accessible application designed for assistive technology users.Organizations must be located in Harrisburg, PA.Average givingAverage grant size: $500 to $15,000Average number of grants per year: 12Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by June 30 to be reviewed at the annual grant meeting that occurs in August.CommunicationsApplicants will receive an automated email confirming their submission.Required agreements and reportsExcept as otherwise specified when a grant is awarded, a progress report must be submitted within 6 months after receiving funds.",About the Foundation            The Ida W. Browning Trust was created under the Last Will and Testament of Ms. Browning out of her desire to utilize audio visual equipment to enhance students’ learning experiences. The trust supports qualified organizations that utilize audio and visual technology as part of their approach in educating young people in the areas of religion and character-building.
,,,,,"MissionThe mission of the Fred and Nancy Brumley Foundation is to provide funds for the assistance of poor, deprived, and neglected persons in Mecklenburg County, North Carolina, and within a fifty-mile radius of Charlotte, North Carolina.Annual application deadlinesAugust 1Program areasHuman servicesStates servedNorth CarolinaGeographic limitationsFoundation funds provide assistance to the residents of Mecklenburg County, North Carolina, and within a fifty-mile radius of Charlotte, North Carolina.TrusteesRon Martin, Co-TrusteeTony Orsbon, Co-TrusteeAndy Martin, Co-TrusteeWells Fargo Bank, N.A., Co-Trustee","RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Applications must be submitted through the online grant application form or alternative accessible application designed for assistive technology users.Grantmaking prioritiesThe Foundation emphasizes the support of human services, the encouragement of those seeking to do better with their lives, and to improve the promise of tomorrow for themselves and their community.Average givingAverage grant size: $10,000 to $50,000Average total giving per year: $150,000Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by August 1 to be reviewed at the grant meeting that occurs in the Fall.CommunicationsApplicants will receive an automated email confirming their submission. Grant decisions are generally communicated by the end of the year for applications received by the deadline.Required agreements and reportsPeriodic progress reports and final reports may be required for funded projects.","About the FoundationFred and Nancy Brumley were wed for life, residing in Charlotte, North Carolina, a growing city that became the beneficiary of their largesse. Following a lifetime of quiet generosity, their posthumous Foundation became active in June 2009, through their estates. Fred was a principal manager for a heating and air conditioning company and was very dedicated to his craft, his colleagues, and the many independent companies working in his industry. The Brumleys joined Plaza Presbyterian Church on March 2, 1952.  There Fred taught youth Sunday school and enjoyed preparing meals at myriad church functions.  He was very active in Men of the Church. Fred served as a Deacon and a Ruling Elder, and as the resident air and heating expert, keeping all the Church heating and air conditioning systems working and in good shape.  In addition, Fred served in the military and was a thirty-third degree Mason. He addressed most everyone as “Brother” or “Sister”.When Fred wasn’t busy at the church or office, he would take to the skies. He periodically owned several planes and he loved talking about his flying for business or pleasure. Nancy had a passion for doll houses.  Her treasure was a large colonial style doll house full of miniature furniture/settings.  But they were best known for their kind and generous spirits, philanthropy and the offer of a “hand up” to those in need.Those who knew them well have shared that there is no doubt Fred and Nancy Brumley loved each other with a deep and abiding love. Fred came home from work for lunch with “Miss Nancy” almost every day of his working life. They loved Plaza Church. They loved the Lord. And their generosity, evident during their lives, follows them still.Values StatementThe Brumleys would utter again their Lord’s truth that God’s rain falls on the just and unjust.  Without regard to merit or desert all people receive the grace of help when fallen, of light in darkness, of love when barren, of care when desolate, and the embrace of faith when broken.  Within the breast of the Brumley Foundation, beats the driven heart of mission for redemption and a brighter tomorrow.  The Foundation underscores the simple betterments listed here:Faith, Helping Others, Opportunity, Compassion, ServiceAmong other inspirations the Brumleys demonstrated was their a sense of community, family, friendship, generosity, stewardship, self-determination, equality, dignity, and care for young people."
,,,,,"MissionTo provide funding to institutions, organizations, and foundations that carry forward the research and development of new and improved aircraft and promote the field of aviation science and technology.Annual application deadlinesJune 1 for a September meetingDecember 1 for an April meetingProgram areasEducationProgram limitationsLimited to US public charities that carry forward the research and development of new and improved aircraft and promote the field of aviation science and technologyStates servedAllTrusteesWells Fargo Bank, N.A., TrusteeGeorge Weaver, Special Trustee","The Emil Buehler Perpetual Trust provides funding to institutions, organizations, and foundations that carry forward the research and development of new and improved aircraft and promote the field of aviation science and technology.RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Applications must be submitted through the online grant application form or alternative accessible application designed for assistive technology users.Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by June 1 for a September or December 1 for an April meeting.CommunicationsApplicants will receive an automated email confirming their submission.Required agreements and reportsExcept as otherwise specified when a grant is awarded, a progress report must be submitted within 6 months after receiving funds.","About the Foundation            The Emil Buehler Perpetual Trust was established in 1984 pursuant to Mr. Buehler’s Last Will and Testament in which he described his lifelong profound interest in aeronautical science. Emil Buehler was an aviation visionary, architect, and engineer.  The majesty and mystery of flight was more than a private interest; it was a vision to be shared during his lifetime and beyond.  This same vision is perpetuated today through the continuing philanthropy of the Buehler Trust."
,,,,,"MissionTo serve the needs of homeless persons.Annual application deadlinesJune 1Program areasHuman servicesProgram limitationsLimited to programs that assist the homeless.States servedIndianaMichiganGeographic limitationsThere are no geographic limitations; however, the foundation has a practice of primarily supporting organizations located in St. Joseph County, Indiana and Ann Arbor, Michigan.TrusteesWells Fargo Bank, N.A.","The Tom F. Bunge Charitable Trust supports organizations in St. Joseph County, Indiana, and Ann Arbor, Michigan that serve the needs of the homeless.RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Applications must be submitted through the online grant application form or alternative accessible application designed for assistive technology users.Average givingAverage grant size: $2,500 to $15,000Average number of grants per year: 10Average total giving per year: $50,000Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by June 1 to be reviewed at the annual grant meeting that occurs in July.CommunicationsApplicants will receive an automated email confirming their submission. Grant decisions are generally communicated by August for applications received by the deadline.Required agreements and reportsPeriodic progress reports and final reports may be required for funded projects.","About the Foundation            Tom F. Bunge, a resident of St. Joseph County, Indiana, created the Tom F. Bunge Charitable Trust to serve the needs of homeless persons.  Mr. Bunge passed away on January 5, 1991."
,,,,,"MissionTo promote, advance, and further the interest in the performing arts for the benefit of the people of the city and county of Denver, Colorado, and to provide support for specific charities named by the donor.Annual application deadlinesMay 15 and November 15Program areasArts, culture, and humanitiesStates servedColoradoProgram limitationsLimited to charities supporting the performing arts, and to specific charities named by the donor.Geographic limitationsThe trust makes grants to charities within the city and county of Denver, Colorado.TrusteesWells Fargo Bank, N.A.","The Ralph L. and Florence R. Burgess Trust makes grants to charities supporting performing arts within the city and county of Denver, Colorado, and to specific charities named by the donor.RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Applications must be submitted through the online grant application form or alternative accessible application designed for assistive technology users.Average givingAverage grant size: $2,500 to $15,000Average number of grants per year: 25Average total giving per year: $125,000Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by May 15 or November 15 to be reviewed at the semi-annual grant meetings that occur in June and December.CommunicationsApplicants will receive an automated email confirming their submission.Required reportsPeriodic progress reports and final reports may be required for funded projects.","About the Foundation            Ralph L. Burgess and Florence R. Burgess were a generous couple who cared greatly about the arts. In 1968, Mr. & Mrs. Burgess made a decision to share their wealth by creating the Ralph L. and Florence R. Burgess Trust with the expressed desire to assist charities who support the performing arts."
,,,,,"MissionTo support charitable purposes of religious, charitable, educational and scientific organizations.Annual application deadlinesMay 1Program areasArts, culture, and humanitiesEducationEnvironment, animalsHealthHuman servicesPublic/society benefitReligionStates servedAlabamaGeographic limitationsThere are no geographic limitations; however, the foundation has a practice of primarily supporting organizations located in the state of Alabama.TrusteesWells Fargo Bank, N.A.","RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Applications must be submitted through the online grant application form or alternative accessible application designed for assistive technology users.Average givingAverage grant size: $5,000 to $20,000Average number of grants per year: 4 to 5Average total giving per year: $55,000Annual application period and deadlinesApplications are accepted year-round but they must be submitted by May 1 to be reviewed at the grant meeting.CommunicationsApplicants will receive an automated email confirming their submission. Grant decisions are generally communicated by year-end for applications received by the deadline.Required agreements and reportsPeriodic progress reports and final reports may be required for funded projects.","About the Foundation            The Andrew Burgin Charitable Trust was established under a trust agreement by Andrew Burgin on May 5, 2016.  Andrew “Drew” Burgin, a resident of Anniston, Alabama, was a Vietnam War veteran.  He lived in Atlanta for more than 30 years working in banking.  Mr. Burgin was a gifted master gardener who was involved in the planning and development of the Atlanta Botanical Gardens in the 1970s.The Andrew Burgin Charitable Trust was created exclusively for support of religious, charitable, educational and scientific organizations."
